id,tid_not_to_be_used,airline,tag,tweet
1822,507761820120387584,Delta,dM}c5i95_Wot,"@DeltaAssist Landed at Dulles tonight, ID may have been lost along the way (still looking).  Can I get trough TSA without it?"
1842,507827210074333184,American,dM}c5i95_Wot,"@AmericanAir, 6 flights in the space of 3 weeks, &amp; the worst experience of flying we have ever had! 2 complaints later... still no response?"
1869,507874835716784128,United,dM}c5i95_Wot,@lufthansa the WORST experience ever...between you @united I will for sure NEVER use you again!
1928,507923147505827840,United,dM}c5i95_Wot,"@united never been so unhappy. First, we are told to do things manually because we are on a deadline to check In our bags."
1948,507933057358528512,American,dM}c5i95_Wot,@AmericanAir #AskKathi My fear is takeoff. What's the likelihood of a plane falling after take off if a bird strikes?
1962,507941507983101952,Delta,dM}c5i95_Wot,@DeltaAssist : need urgent assist to locate baggage lost by Delta somewhere between Sacramento and Paris. Can you help. In france w/out.
1981,507956806392352768,United,dM}c5i95_Wot,Hey @staralliance - why does my worse status on @Airfance give me upgrades on @Delta &amp; better status on @Lufthansa not with @United at all?
1988,507961652458061824,United,dM}c5i95_Wot,@united now sitting on another flight to MSN and now this is being delayed. #flydelta
2011,507972681510424576,SouthWest,dM}c5i95_Wot,Pray for me!  Everyone on my @SouthwestAir flight just started screaming f/extreme turbulence.  @WTSP10News I don't want to become the news!
2029,507986106277974016,United,dM}c5i95_Wot,Expedited screening not same as PreCheck. Embarrassing @KCIAirport only has PreCheck limited hours @united gates. Inconvenient for flyers.
2038,507990959909371904,American,dM}c5i95_Wot,@USAirways @AmericanAir Be sure to herd everyone onto the plane before a 2-hour-plus repair on this Wright Brothers plane #US1738 #typical
2062,508001095621545984,United,dM}c5i95_Wot,"Since 8/1, I've had 20 flights on @Delta and 2 flights on @united. I've also only been delayed 2 times. I'll let you put 2 and 2 together."
2082,508009081412800512,JetBlue,dM}c5i95_Wot,@JetBlue why is 1237 out of boston delayed ?
2088,508011275410890752,SouthWest,dM}c5i95_Wot,It's really ridiculous @SouthwestAir that a family can't even sit together for a flight because of the way you seat people. #CattleCall
2095,508014706863661056,JetBlue,dM}c5i95_Wot,"So excited to be back \home\"" at #JFK #T5! You can take the girl out of @JetBlue"
2102,508017966428860416,SouthWest,dM}c5i95_Wot,@SouthwestAir @bestgman waiting for a response...
2152,508033964607811584,United,dM}c5i95_Wot,@united waited on hold 25 minutes and then was placed on hold again only to be disconnected. Hence the reason why you lost a 100K member
2212,508056215189217280,American,dM}c5i95_Wot,When does this @AmericanAir merger happen? @USAirways has to have the worst website in the industry. Being trying to check for 30 min online
2218,508058578184204288,AlaskaAir,dM}c5i95_Wot,@AlaskaAir I've never had a worse experience in ~20 yrs of flying than the simplest of flights today from LAX. Never flying Alaska again!!
2225,508060028486819840,United,dM}c5i95_Wot,@united really my flight to OMA out of ORD is cancelled after flight from Germany and no hotel voucher because I'm only platinum? No loyalty
2228,508060457434091520,United,dM}c5i95_Wot,"@united Not an angry question at all, just curious. What else could I have done to get a higher group here?"
2258,508078069790556160,United,dM}c5i95_Wot,Shout out to @united for ruining any chance I had at a Friday night. #delayed
2308,508118537450573824,American,dM}c5i95_Wot,"@TommyFlanagan @AmericanAir hell yes! Hope that was some relaxing Jameson in that cup, eh? ;)"
2319,508138891610976256,American,dM}c5i95_Wot,@AmericanAir flight 2486 cancelled but no information why. Here in line with 40 other angry 'customers'
2327,508157540719271936,United,dM}c5i95_Wot,Got bumped from an ANA operated flight to @united paid for economy plus. Horrible! No seat screen outlet or drinks.
2329,508158293479792640,Delta,dM}c5i95_Wot,@Delta @DeltaAssist VCE-JFK 475 at 13.10: 9h #flight already 1.5h #delay come on! #customerservice #customercare #weekend #ruin
2373,508259881208795136,American,dM}c5i95_Wot,@AmericanAir pilots refuse to fly out and flight cancelled. Out hotel in Santa Monica and taxi trips to and from airport. #nightmare #ordlax
2389,508265884767363072,AlaskaAir,dM}c5i95_Wot,ALASKA AIRLINES IS THE WORST @AlaskaAir
2443,508316749553729536,American,dM}c5i95_Wot,"I have literally never encountered worse planning &amp; service than @AmericanAir. Lost money, time, and repeatedly hung up on by customer serv."
2469,508338223287111680,United,dM}c5i95_Wot,@AKinkhabwala @united united is the worst. I use Delta out of Canton Akron.
2518,508372888878317568,United,dM}c5i95_Wot,@united flight is 3 hours late missing a connection and now you can't get a gate to us? Sitting in plane for 1hr waiting after 8 hr. #worst
2603,508432679017000960,AlaskaAir,dM}c5i95_Wot,@AirlineFlyer no i think we are waiting on @AlaskaAir
2625,508459662816342016,United,dM}c5i95_Wot,@united first time flying United and I had the worst customer service ever. Stuck in Houston and missing my sons Navy work tomorrow.
2686,508597570814230528,American,dM}c5i95_Wot,@AmericanAir I have a flight 2day on another airline that is late and will cause me to miss my AA flight.  How are these situations handled?
2691,508607382427942912,United,dM}c5i95_Wot,Useful add in Liverpool Tube Station since @United didn't bother to email flight info. https://t.co/UzkSKthQFe http://t.co/fzDtrOxbvn
2699,508618179074355200,United,dM}c5i95_Wot,"@AirlineFlyer just wanted to let you know @united really let me down today, I'm going to miss the Vikings kick off!"
2747,508656200532393984,JetBlue,dM}c5i95_Wot,"Ok @JetBlue, if flying out of Tampa do I get national or local NFL coverage? Basically, do I get to watch SF or am I stuck with the Bucs?"
2841,508713279846236160,SouthWest,dM}c5i95_Wot,.@SouthwestAir chaos in reno. Just unboarded plane. All flights delayed and no one knows anything. Staff has asked us not to ask questions.
2889,508733260462313472,United,dM}c5i95_Wot,"\Refueling will take 20 minutes..\"" -@united . An hour later"
2903,508738758926016512,SouthWest,dM}c5i95_Wot,Status report: nearing an hour and a half on the Tarmac in our sweltering @SouthwestAir plane. #pleasetakeoffsoon
2951,508753176041111552,American,dM}c5i95_Wot,@AmericanAir worst experience with service and flying ever RES CODE: DNTPJI. Never flying AA AGAIN and would recommend against it.
2953,508753919799861248,United,dM}c5i95_Wot,"@united flt delay 2hrs bc of weather. Then upon takeoff, engine malfunctions. Sympathize with your staff under such conditions. But....cont"
2987,508763415511195648,United,dM}c5i95_Wot,"So after a 4 hour delay, @united still doesnt provide a drink ticket....#fail"
2993,508764249359794176,Delta,dM}c5i95_Wot,@DeltaAssist I'm in Melbourne and my luggage seems to be stuck in HNL for 2 days - can't get a phone or email response. Can you help?
3028,508778710892167168,United,dM}c5i95_Wot,Double #fail @united-I miss out on a night w/@Chris_Chmura I watched the flight status at http://t.co/AC5VmEtlzh with my fingers crossed
3031,508779839592353792,JetBlue,dM}c5i95_Wot,"After flying on @Delta for the first time this week I'm sticking to @JetBlue. I wasn't not a fan, the delay almost left me stuck in CLE"
3136,508802941453479936,United,dM}c5i95_Wot,"@united international fly UA1031 poor value, no food served during a 4hr fly  higher fare than competitors disappointed never fly again!"
3157,508809176404221952,Delta,dM}c5i95_Wot,@Delta @DeltaAssist Would like the courtesy of a response and contact. The least that could be done after a terrible last leg. #DeltaTinkle
3200,508826936525590528,United,dM}c5i95_Wot,@TrevorMoran @united UNITED CAN SUCK MY ASS 
3207,508827043539480576,United,dM}c5i95_Wot,@united you're employees are rude! One glared at me and I swore he called me fat!
3279,508889076603572224,United,dM}c5i95_Wot,Flew SMF-&gt;DTW on @united's new seats today. Rethinking my domestic frequent-flyer strategy. They're utterly horrid.
3302,508936177815412736,United,dM}c5i95_Wot,@SFoskett @united Hope the same doesn't happen to me :) Slightly longer flight than you!
3312,508946471253573632,Delta,dM}c5i95_Wot,@Stacy_Lewis @DeltaAssist This is the No 1 player n the world Delta. Bad pub all wk on tv w/o her clubs! Make it happen Delta! #wps4life
3319,508950119442440192,SouthWest,dM}c5i95_Wot,@SouthwestAir can't wait to travel this fall with you!  I wanna get away lol #rapidrewards :)
3355,508974768889298944,American,dM}c5i95_Wot,WTF MT @TinaPaparone Glad I waited a month to get generic email from @AmericanAir cust. serv. that didn't address situation #DontFlyAmerican
3443,509002751318425600,American,dM}c5i95_Wot,Typical @AmericanAir.  Something's always broken. http://t.co/ajsEPghrdn
3457,509010286024855552,American,dM}c5i95_Wot,Biz #travel to #PDX tomorrow via @AmericanAir. Can't wait to meet the #Portland Revelers! cc @RevelryAgency @hotel_lucia
3508,509032683817947136,American,dM}c5i95_Wot,I always forget not to fly @AmericanAir . Terrible customer service.
3536,509046884376514560,American,dM}c5i95_Wot,"@JohnCLundy True, @AmericanAir responded promptly to an issue I had last week via @twitter"
3598,509077958192283648,SouthWest,dM}c5i95_Wot,"Had I waited to book my @SouthwestAir flights I could have saved liked 90 bucks round trip, wish I would have known :("
3703,509122754726363136,SouthWest,dM}c5i95_Wot,@SouthwestAir I LUV IT! Can't wait to see it in person!
3745,509138072861442048,American,dM}c5i95_Wot,"@AmericanAir never disappoints! Whether it be no bags on arrival,engine malfunction or no gate upon your landing! They got it covered!"
3774,509153400525565952,SouthWest,dM}c5i95_Wot,I don't think there is one @SouthwestAir flight that is not delayed 
3822,509199726190018560,United,dM}c5i95_Wot,Disgusted with @united horrible customer service and worst flight ever #getittogether
3836,509219958954680320,SouthWest,dM}c5i95_Wot,@SouthwestAir Worst airline in the history of airlines! Ruin a business meeting because you can't get luggage to someone's destination!
3938,509368472439377920,JetBlue,dM}c5i95_Wot,@JetBlue I bought my insurance through JB and @AllianzTravelUS screwed me!! Is that trustworthy customer service??#boycottAllianceTravelUS
3977,509394940556619776,American,dM}c5i95_Wot,The one upside of a 2.5 hour flight delay on @AmericanAir? Getting to watch #AppleLive as it happens!
4035,509428868151640064,United,dM}c5i95_Wot,".@united fail again!! FL1678 BOS-SFO on old 757-300 with NO power, personal ent sys or wifi.  Gonna be a long 6 hours. You can do better!"
4147,509495646223863808,United,dM}c5i95_Wot,.@metraBNSF tonight @united employees were complaining on your lack of efficiency. That's really bad
4156,509503861221244928,American,dM}c5i95_Wot,Suck it @AmericanAir and your ratchet flight attendants
4255,509612980346974208,American,dM}c5i95_Wot,Poor first experience at @silvercar LAX tonight due to late (of course) @AmericanAir flight. Got in after 11PM and office was closed.
4290,509681621092806656,VirginAmerica,dM}c5i95_Wot,I wish .@VirginAmerica flew direct to San Diego from NYC. I miss the in flight safety dance video! @Delta's is a snooze.
4319,509713429876465664,SouthWest,dM}c5i95_Wot,@SouthwestAir lost two of our three bags somewhere between @PHLAirport curbside check and @PHXSkyHarbor carousel. #findmybags
4347,509731339009269760,AlaskaAir,dM}c5i95_Wot,@AlaskaAir super cool. My fianc and her bridal party were at the gate before plane left but were a few mins late. Turned away. #custservice
4381,509752315822473216,VirginAmerica,dM}c5i95_Wot,@USAirways another flight delayed! Not surprising when your owned by @AmericanAir / @VirginAmerica please start getting more routes!
4410,509776418344271872,Delta,dM}c5i95_Wot,"Way to go @Delta @DeltaAssist for paying attention to \angry misspellers\"" on Twitter #Detla /via @unmarketing #CMWorld"""
4422,509780266492383232,United,dM}c5i95_Wot,@roxanazegan Me too! My flight was cancelled due to some monsoon that never really happened. lame. I blame Mother Nature and @united.
4427,509782296900427776,American,dM}c5i95_Wot,".@AmericanAir Your refund process is ridiculous. There is literally NO way to speak to someone about one. Not desk agent, not CC, no one."
4491,509828516725391360,United,dM}c5i95_Wot,@united @AmericanAir remember this tragical day ever  And thinking the passengers who never made their destination  http://t.co/FdNAITyayP
4495,509831128879218688,United,dM}c5i95_Wot,@Swizzymack I was gonna say... Haha. Been here a minute looking for you. DM me when you get in so I can pick you up haha. Fucking @united
4499,509832887122661376,United,dM}c5i95_Wot,.@united charged my card twice for one set of tickets I was using a voucher for. Now it'll take 1-2wks to get my $1500 back. Never again.
4570,509877992102047744,American,dM}c5i95_Wot,Flight delay due to a coffee pot?  Way to @AmericanAir
4640,509940471519797248,VirginAmerica,dM}c5i95_Wot,"First time to fly with @VirginAmerica tomorrow, can't wait! San Francisco here I come!"
4665,510008092030164992,United,dM}c5i95_Wot,@united No point of having travel insurance when your still going to charge me $500 extra to change ticket? No understanding no compassion.
4702,510046888419426304,American,dM}c5i95_Wot,"_@AmericanAir: Today, we pause to remember those we lost. They will forever be in our hearts._ We do!"
4825,510123962312196096,American,dM}c5i95_Wot,@AmericanAir what is the proper way to get a hotel due to missed connection flight bc of mechanical delay?  Buy+reimburse or voucher?
4827,510126999848095744,AlaskaAir,dM}c5i95_Wot,Hey @AlaskaAir if they forgot to put on my known traveler number in my reservation for my 3.15 flight is it too late to add it for TSA Pre?
5053,510248109058695168,American,dM}c5i95_Wot,It looks like another brand may be having a social media problem tonight. This @AmericanAir assault situation looks like it is escalating.
5106,510318342037843968,American,dM}c5i95_Wot,@isdscuba @AmericanAir I would not board an AA flight unless my life depended on it worst airline ever LHR-BOS #bigfail
5114,510364867132678144,American,dM}c5i95_Wot,"Without exaggeration worst 48 hrs of life. You one upped yourselves @AmericanAir. Now lost bag, incorrect ticket, $90 out of pocket. #youwin"
5166,510414635158089728,American,dM}c5i95_Wot,"@richeisen @united Rich, fly @AmericanAir zero problems &amp; I fly weekly! #firstworldproblems"
5182,510424600283721728,American,dM}c5i95_Wot,@AmericanAir Why do you always cause me to miss my flight ??
5185,510425329505423360,JetBlue,dM}c5i95_Wot,"Sad to leave my family, but happy to fly @JetBlue _ MSY_JFK"
5242,510453904086409216,American,dM}c5i95_Wot,@AmericanAir your csr's are slow and inefficient. It should take an hour to change flight/seats.
5262,510467318120710144,SouthWest,dM}c5i95_Wot,@SouthwestAir Get in 10 minutes early. Get to the gate 25 minutes late. Can someone explain this to me? #firstworldproblems
5281,510476609858850816,American,dM}c5i95_Wot,Really @AmericanAir? Sitting on plane 1hr (after flight already delayed 1hr) bc u can't find how to fix maintenance issue bc of merger? #huh
5296,510485499208019968,American,dM}c5i95_Wot,@AmericanAir can't wait to see your first @BoeingAirplanes #787 in the air
5335,510503640474603520,SouthWest,dM}c5i95_Wot,4 hour delay  I should've been in Chicago by now @SouthwestAir
5345,510508213633298432,American,dM}c5i95_Wot,Omg @AmericanAir sucks balls
5365,510519092697374720,Delta,dM}c5i95_Wot,@DeltaAssist I am in UK trying to book KLM/airfrance flights using electronic credit voucher issues by delta but the flights I require ...
5391,510527420504752128,American,dM}c5i95_Wot,Missed first class by that much!  #socloseyetsofat  @AmericanAir http://t.co/vLWu6AniQB
5411,510533741752885248,JetBlue,dM}c5i95_Wot,Stuck in traffic. Hope I make my @JetBlue flight PIT-BOS.
5482,510564842130792448,SouthWest,dM}c5i95_Wot,@nflcommish shitty week huh? wanna get away? @SouthwestAir
5487,510566834320711680,American,dM}c5i95_Wot,"@AmericanAir Another city, another delay. Fix your planes, fix your airline #aasucks"
5541,510594528210714624,SouthWest,dM}c5i95_Wot,"Gasp! Horrible. @SouthwestAir better not be all like: \Tis but a scratch.\"" @comdotband http://t.co/uYoCUokXan"""
5567,510606153718718464,American,dM}c5i95_Wot,Sitting on the tarmac waiting and waiting. Hope I make my connection @AmericanAir
5571,510608156850790400,VirginAmerica,dM}c5i95_Wot,@AccessibleJoe @VirginAmerica  Worst part  is that just improving kbd access and using better semantic markup would fix most of current site
5581,510614977888403456,United,dM}c5i95_Wot,@united disappointed to hear my mom's wheelchair service hasn't cone and he has had to switch gates 3 times at ohare already.ownership?
5619,510661505855938560,United,dM}c5i95_Wot,@united cancelled my flight! Tried to call reservations and the wait time is 20 minutes. Not email to tell me of cancel! Stuck at airport.
5677,510765648960819200,JetBlue,dM}c5i95_Wot,"@JetBlue #1251 #HPN unloaded due to mechanical problems. Come find me, in a @notsam shirt, we can have some airport drinks. JB better DM me."
5699,510783782946107392,American,dM}c5i95_Wot,Of course there's a maintenance problem with the plane @AmericanAir I need to get to Nashville. Hurry up
5712,510792012422209536,United,dM}c5i95_Wot,@ManUtd ya can't wAit any longer!!!@UNITED!!!we@BELIEF!!!no1FAN!!SATerday afternoon!!!
5765,510817895056551936,American,dM}c5i95_Wot,Hey @USAirways @AmericanAir FUCK YOU Get your shit together. Shuttling people all over the airport &amp; missing flights. Fuck you &amp; your merger
5818,510856238364901376,American,dM}c5i95_Wot,@jarpad @AmericanAir STUPID AMERICAN AIR IDIOTS HOW DARE YOU MAKE JARED SAD
5844,510878035659489280,American,dM}c5i95_Wot,"@AmericanAir SIGN VIDAL, CUADRADO AND HUMMELS OR I WILL SHIT IN YOUR TOILET AND BLOCK IT"
5847,510882076091228160,American,dM}c5i95_Wot,"After aborted landing due to wing flap fail light  landed 3.75 hr late. Don't think I'm making it home. @AmericanAir, this is 2x this month"
5856,510887693522186240,SouthWest,dM}c5i95_Wot,"Gotta LUV @SouthwestAir: instead of making you wait on hold, they call you back when the next agent is available."
6187,511267390773280768,United,dM}c5i95_Wot,@united again you fail me with inability to be on time sure better hope I make it across the pond on my flight tonight or all hell is coming
6242,511297620354928640,American,dM}c5i95_Wot,"@AmericanAir worst customer service - screw up my boarding pass, no fix, won't offer courtesy $20 seat upgrade. Never flying with you again."
6258,511306098754596864,SouthWest,dM}c5i95_Wot,@MissyWard @SouthwestAir @AirTran he might like that. There are worse passengers to have in your lap!
6272,511319798576611328,United,dM}c5i95_Wot,Im dreading flying @united after over 2 years on @virginamerica  Its sad that a brand can create so much angst.
6406,511491002989674496,United,dM}c5i95_Wot,.@united YOU. ARE. THE. WORST.
6450,511525979878359040,American,dM}c5i95_Wot,"Stuck @ take off, catering took our trash can when they serviced  plane.  Till we get it back the FAA won't let us take off.  @AmericanAir"
6455,511527692651757568,VirginAmerica,dM}c5i95_Wot,The gorgeous morning over San Francisco as I begrudgingly leave on my fav airline @VirginAmerica  http://t.co/JoGFRkMFot
6495,511546108104171520,American,dM}c5i95_Wot,@KVII This was a wreck not construction as reported on 11a news. Many missed 9a @AmericanAir flt.
6541,511572906154160128,United,dM}c5i95_Wot,@united so I paid an extra $75 for a window seat and get a seat with no window #notcool #deceived UA1466 http://t.co/aGXSIAU9nU
6542,511572918644768768,American,dM}c5i95_Wot,"@AmericanAir still awaiting response, complaint reference 1-1978076280 http://t.co/xPikX9sdeY"
6545,511577819575369728,SouthWest,dM}c5i95_Wot,@SouthwestAir made all my dreams come true this weekend! Thankful for delayed flights and extended layovers so I could see @emilytidwell
6549,511579960067117056,VirginAmerica,dM}c5i95_Wot,@VirginAmerica I never got a confirmation email. How to I put my email in again to receive one?
6553,511581732249042944,United,dM}c5i95_Wot,@ZachHonig @united apparently that's only 6 days a week..  Maybe just a bad luck day?
6607,511610405135724544,American,dM}c5i95_Wot,. @AmericanAir really disappointed how I've been treated on two flights this week. Currently stuck on a plane not taking off.
6633,511627929240211456,Delta,dM}c5i95_Wot,@DeltaAssist do yourself a favor and don't fly Delta they lost my bag and nobody is doing anything about it
6654,511642754682613760,American,dM}c5i95_Wot,@AmericanAir unsatisfying rebook for our STL-&gt;LGA next-day delay. Could've at least sat us close to front on the ORD-&gt;LGA leg.
6655,511643181084323840,Delta,dM}c5i95_Wot,@DeltaAssist upset my seat was changed from 1B to 5B when the equipment wsa the same for my flt SEA-MEX.
6676,511657109113409536,United,dM}c5i95_Wot,"@jonk Nah, not at this point.  Although I'm flying @united, I'm waiting in the @Delta area because their seats aren't crappy."
6685,511661662580269056,United,dM}c5i95_Wot,@united why don't you load people from back to front? Then you don't wait in the aisle for 20 min while they struggle with their luggage
6704,511679132640759808,American,dM}c5i95_Wot,"@AmericanAir I have a friend stuck in Cabo, can they get a flight from La Paz if they can make it there, how to contact you?"
6709,511685276834746368,United,dM}c5i95_Wot,@united with current Cabo Damage and hotels being ruined what are options for passengers heading that way? #pleasehelp #takeusaway
6724,511693038142631936,American,dM}c5i95_Wot,@AmericanAir Worst airline I've ever flown. Don't recommend it.
6752,511713024265035776,VirginAmerica,dM}c5i95_Wot,@MeRadley @Timmorf @AlaskaAir that's Alaska Airlines for you! They're rude and unprofessional.. Next time go with @VirginAmerica
6767,511726902705258496,American,dM}c5i95_Wot,@AmericanAir @YAMAdrama AMERICAN AIRLINES FOOD IS SO BAD THAT THEY HAVE AN INTERN TWEET APOLOGIES.
6786,511755907374387200,VirginAmerica,dM}c5i95_Wot,@TheBiancaDelRio @VirginAmerica @Virgin not cool at all. #nottodaysatan
6810,511803220595724288,VirginAmerica,dM}c5i95_Wot,@TheBiancaDelRio @VirginAmerica @Virgin Never thought I'd see BiancaDelRio and the word 'virgin' in the same sentence!
6849,511872734100750336,United,dM}c5i95_Wot,"@united another six hour flight with no tv, power or wifi.  #luxuryairline"
6856,511877112395882496,VirginAmerica,dM}c5i95_Wot,"Twitter Analysis Suggests Best and Worst Airlines, @VirginAmerica Wins http://t.co/y307ahaUNZ (via @Forbes)  not surprising"
6882,511897786921398272,United,dM}c5i95_Wot,@CNBC @united give it to me make it $10 000.00 I'll never fly them again!
6913,511916239124328448,American,dM}c5i95_Wot,Finally got a BS response from @AmericanAir. Maybe you can't find my sunglesses because you waited 3 months to look http://t.co/fEZ37JmDY3
6922,511924144947343360,United,dM}c5i95_Wot,I FINALLY have my missing bag.  @Delta: 2 @United: 0 http://t.co/98i5I38vda
6969,511960170352500736,Delta,dM}c5i95_Wot,@DeltaAssist If I have a letter of complaint from my father for Delta is there an address (email) I can send it to?
